name,party,electorate,state,start_date,end_date
Janet Rice,Greens Federal,Victoria,VICTORIA,2014-01-01,""
Malcolm Roberts,One Nation Federal,Queensland,QUEENSLAND,2019-05-18,""
Anne Ruston,Liberal Federal,South Australia,SOUTH AUSTRALIA,2012-01-01,""
Scott Ryan,Liberal Federal,Victoria,VICTORIA,2008-01-01,2021-01-01
Nigel Scullion,Country Liberal Federal,Northern Territory,NORTHERN TERRITORY,2001-11-10,2019-05-18
Zed Seselja,Liberal Federal,Australian Capital Territory,AUSTRALIAN CAPITAL TERRITORY,2013-09-07,2022-05-22
Rachel Siewert,Greens Federal,Western Australia,WESTERN AUSTRALIA,2005-01-01,2021-01-01
Lisa Singh,Labor Federal,Tasmania,TASMANIA,2011-01-01,2019-05-18
Arthur Sinodinos,Liberal Federal,New South Wales,NEW SOUTH WALES,2011-01-01,2019-05-18
David Smith,Labor Federal,Australian Capital Territory,AUSTRALIAN CAPITAL TERRITORY,2018-01-01,2019-05-18
Dean Smith,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2012-01-01,""
Duncan Spender,Liberal Democrats Federal,New South Wales,NEW SOUTH WALES,2019-05-18,2019-05-18
Jordon Steele-John,Greens Federal,Western Australia,WESTERN AUSTRALIA,2017-01-01,""
Glenn Sterle,Labor Federal,Western Australia,WESTERN AUSTRALIA,2005-01-01,""
Amanda Stoker,Liberal National Federal,Queensland,QUEENSLAND,2018-01-01,2022-05-22
Tim Storer,Independent Federal,South Australia,SOUTH AUSTRALIA,2018-01-01,2019-05-18
Anne Urquhart,Labor Federal,Tasmania,TASMANIA,2011-01-01,""
Larissa Waters,Greens Federal,Queensland,QUEENSLAND,2018-01-01,""
Murray Watt,Labor Federal,Queensland,QUEENSLAND,2016-07-02,""
Peter Whish-Wilson,Greens Federal,Tasmania,TASMANIA,2012-01-01,""
John Williams,National Federal,New South Wales,NEW SOUTH WALES,2008-01-01,2019-05-18
Penny Wong,Labor Federal,South Australia,SOUTH AUSTRALIA,2002-01-01,""
Nick Xenophon,Xenophon Federal,South Australia,SOUTH AUSTRALIA,2008-01-01,2017-01-01
