name,party,electorate,state,start_date,end_date
Eric Abetz,Liberal Federal,Tasmania,TASMANIA,1994-01-01,2022-05-22
Alex Antic,Liberal Federal,South Australia,SOUTH AUSTRALIA,2019-05-18,""
Wendy Askew,Liberal Federal,Tasmania,TASMANIA,2019-05-18,""
Tim Ayres,Labor Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Cory Bernardi,Independent Federal,South Australia,SOUTH AUSTRALIA,2006-01-01,2020-01-01
Catryna Bilyk,Labor Federal,Tasmania,TASMANIA,2008-01-01,""
Simon Birmingham,Liberal Federal,South Australia,SOUTH AUSTRALIA,2007-11-24,""
Andrew Bragg,Liberal Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Slade Brockman,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2017-01-01,""
Carol Brown,Labor Federal,Tasmania,TASMANIA,2005-01-01,""
Matt Canavan,Liberal National Federal,Queensland,QUEENSLAND,2014-01-01,""
Kim Carr,Labor Federal,Victoria,VICTORIA,1993-03-13,2022-05-22
Michaelia Cash,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2008-01-01,""
Claire Chandler,Liberal Federal,Tasmania,TASMANIA,2019-05-18,""
Anthony Chisholm,Labor Federal,Queensland,QUEENSLAND,2016-07-02,""
Raff Ciccone,Labor Federal,Victoria,VICTORIA,2019-05-18,""
Richard Colbeck,Liberal Federal,Tasmania,TASMANIA,2018-01-01,""
Mathias Cormann,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2007-11-24,2020-01-01
Dorinda Cox,Greens Federal,Western Australia,WESTERN AUSTRALIA,2021-01-01,""
Perin Davey,National Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Richard Di Natale,Greens Federal,Victoria,VICTORIA,2011-01-01,2020-01-01
Pat Dodson,Labor Federal,Western Australia,WESTERN AUSTRALIA,2016-07-02,2024-01-01
Jonathon Duniam,Liberal Federal,Tasmania,TASMANIA,2016-07-02,""
Don Farrell,Labor Federal,South Australia,SOUTH AUSTRALIA,2016-07-02,""
Mehreen Faruqi,Greens Federal,New South Wales,NEW SOUTH WALES,2018-01-01,""
David Fawcett,Liberal Federal,South Australia,SOUTH AUSTRALIA,2011-01-01,""
Concetta Fierravanti-Wells,Liberal Federal,New South Wales,NEW SOUTH WALES,2005-01-01,2022-05-22
Mitch Fifield,Liberal Federal,Victoria,VICTORIA,2004-10-09,2019-05-18
Alex Gallacher,Labor Federal,South Australia,SOUTH AUSTRALIA,2011-01-01,2021-01-01
Katy Gallagher,Labor Federal,Australian Capital Territory,AUSTRALIAN CAPITAL TERRITORY,2019-05-18,""
Nita Green,Labor Federal,Queensland,QUEENSLAND,2019-05-18,""
Stirling Griff,Centre Alliance Federal,South Australia,SOUTH AUSTRALIA,2016-07-02,2022-05-22
Karen Grogan,Labor Federal,South Australia,SOUTH AUSTRALIA,2021-01-01,""
Pauline Hanson,One Nation Federal,Queensland,QUEENSLAND,2016-07-02,""
Sarah Hanson-Young,Greens Federal,South Australia,SOUTH AUSTRALIA,2008-01-01,""
Sarah Henderson,Liberal Federal,Victoria,VICTORIA,2019-05-18,""
Hollie Hughes,Liberal Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Jane Hume,Liberal Federal,Victoria,VICTORIA,2016-07-02,""
Kristina Keneally,Labor Federal,New South Wales,NEW SOUTH WALES,2018-01-01,2022-05-22
Kimberley Kitching,Labor Federal,Victoria,VICTORIA,2016-07-02,2022-05-22
Jacqui Lambie,Lambie Federal,Tasmania,TASMANIA,2019-05-18,""
Sue Lines,Labor Federal,Western Australia,WESTERN AUSTRALIA,2013-09-07,""
Jenny McAllister,Labor Federal,New South Wales,NEW SOUTH WALES,2015-01-01,""
Malarndirri McCarthy,Labor Federal,Northern Territory,NORTHERN TERRITORY,2016-07-02,""
Susan McDonald,Liberal National Federal,Queensland,QUEENSLAND,2019-05-18,""
James McGrath,Liberal National Federal,Queensland,QUEENSLAND,2014-01-01,""
Bridget McKenzie,National Federal,Victoria,VICTORIA,2011-01-01,""
Nick McKim,Greens Federal,Tasmania,TASMANIA,2015-01-01,""
Andrew McLachlan,Liberal Federal,South Australia,SOUTH AUSTRALIA,2020-01-01,""
Sam McMahon,Country Liberal Federal,Northern Territory,NORTHERN TERRITORY,2019-05-18,2022-05-22
Greg Mirabella,Liberal Federal,Victoria,VICTORIA,2021-01-01,2022-05-22
Jim Molan,Liberal Federal,New South Wales,NEW SOUTH WALES,2019-05-18,2023-01-01
Deborah O'Neill,Labor Federal,New South Wales,NEW SOUTH WALES,2013-09-07,""
Matt O'Sullivan,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2019-05-18,""
James Paterson,Liberal Federal,Victoria,VICTORIA,2016-07-02,""
Rex Patrick,Independent Federal,South Australia,SOUTH AUSTRALIA,2017-01-01,2022-05-22
Marise Payne,Liberal Federal,New South Wales,NEW SOUTH WALES,1997-01-01,2023-01-01
Helen Polley,Labor Federal,Tasmania,TASMANIA,2005-01-01,""
Louise Pratt,Labor Federal,Western Australia,WESTERN AUSTRALIA,2016-07-02,""
Gerard Rennick,Liberal National Federal,Queensland,QUEENSLAND,2019-05-18,""
Linda Reynolds CSC,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2014-01-01,""
Janet Rice,Greens Federal,Victoria,VICTORIA,2014-01-01,""
Malcolm Roberts,One Nation Federal,Queensland,QUEENSLAND,2019-05-18,""
Anne Ruston,Liberal Federal,South Australia,SOUTH AUSTRALIA,2012-01-01,""
Scott Ryan,Liberal Federal,Victoria,VICTORIA,2008-01-01,2021-01-01
Paul Scarr,Liberal National Federal,Queensland,QUEENSLAND,2019-05-18,""
Zed Seselja,Liberal Federal,Australian Capital Territory,AUSTRALIAN CAPITAL TERRITORY,2013-09-07,2022-05-22
Tony Sheldon,Labor Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
