name	date published	abn	client of
CEO's for Gender Equity	15 June 2021	51 323 499 079	GRA Partners Pty Ltd | 56 131 702 755
CG Berbatis Holdings Pty Ltd	16 January 2018		Coode Holdings Pty Ltd | 81 623 654 839
Chalice Mining Limited	7 February 2022	47 116 648 956	Corporate Affairs Australia Pty Ltd | 87 629 216 262
Challenges Abroad Australia Pty Ltd	4 September 2023	57 156 462 430	Jo Scard Pty Ltd | 29 145 634 224
Chanel Contos	8 May 2023		DPG Advisory Solutions | 14 634 403 115
Change Victoria Incorporated	14 October 2024	31 951 144 911	Stuart David Eaton | 21 719 448 022
Charity Bounce	17 October 2017		Primary Communication Partners Pty Limited | 36 617 864 347
Charter Hall	17 December 2020	57 113 531 150	Richardson Coutts Pty Ltd | 82 378 912 405
Chartered Accountants Australia and New Zealand (ABN 50 084 642 571)	5 October 2023	50 084 642 571	H/Advisors APA Pty Ltd | 60 074 901 545
CHC Helicopters	18 July 2022		Hawker Britton Group Pty Ltd | 79 109 681 405
CHE PROXIMITY PTY LTD	30 September 2022	16 006 716 730	GRACosway Pty Ltd | 50 082 123 822
Chegg Inc	11 September 2024		Anacta Strategies Pty Ltd | 64 633 978 677
Chemotherapy Compounding Group	5 August 2019		National Advisory Pty Ltd | 29 634 573 363
CHEMX MATERIALS LIMITED	9 October 2024	88 644 982 123	Purple Communications Australia Pty Ltd | 37 108 802 366
CHEP Australia	22 April 2024	11 117 266 323	TG Public Affairs Pty Ltd | 23 630 677 673
Chesapeake Technology, Inc	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Chevron	27 April 2023	29 086 197 757	SEC Newgate Pty Limited | 38 162 366 056
Chiesi Australia Pty Ltd	18 October 2023	72 145 180 865	Willard Public Affairs Pty Limited | 17 165 851 856
Chiesi Farmaceutici S.p.A.	16 March 2023	72 145 180 865	FTI Consulting (Australia) Pty Ltd | 49 160 397 811
CHILD AWARE TECHNOLOGY OPERATIONS PTY LTD	13 November 2023	57 654 343 521	Counsel House Pty Ltd | 35 631 919 009
Childcare WA	7 November 2011		Jannette Cotterell | 51 364 113 263
Children by Choice Incorporated	7 October 2022	51 809 774 188	Anacta Strategies Pty Ltd | 64 633 978 677
Children's Cancer Institute	27 June 2023	41 072 279 559	Moira Clay Consulting Pty Ltd | 90 649 584 627
Children's Medical Research Institute	5 October 2017	47 002 684 737	PremierNational Pty Ltd | 71 619 450 841
Children's Medical Research Institute	23 March 2018	47 002 684 737	Premier State Consulting Pty Ltd | 26 149 964 189
Children's Tumour Foundation of Australia	11 January 2024	26 148 815 534	London Agency Pty Ltd | 73 145 352 147
Chill Attic Pty Ltd	8 February 2024	62 670 871 226	CRAKYL Pty Ltd | 40 105 759 279
Chow Steel	24 January 2019		KIG Energy Pty Ltd | 14 613 519 770
Chronic Pain Australia	23 September 2024	26 264 230 404	Bourke Street Advisory | 54 075 139 609
CIAV	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
CIMIC GROUP LIMITED	21 November 2023	57 004 482 982	TSB Advisory Pty Ltd | 90 604 408 826
CINCH Finance Pty Ltd	23 April 2024	83 169 965 397	Axiom Public Policy | 68 666 723 691
Circular Ecosystems Pty Ltd	1 February 2024	66 671 730 206	Greenbox Advisory Pty Ltd | 65 625 260 933
Cirrus	20 June 2022	77 075 393 798	Hawker Britton Group Pty Ltd | 79 109 681 405
Citigroup	6 June 2022	88 004 325 080	Hawker Britton Group Pty Ltd | 79 109 681 405
Citigroup Pty Limited	18 November 2013		Barton Deakin Pty Ltd | 65 140 067 287
Citizens' Climate Lobby (Australia) Incorporated	25 January 2024	21 735 870 043	Jo Scard Pty Ltd | 29 145 634 224
Citizens of the Great Barrier Reef	31 March 2023	77 614 807 564	Horizon GR Pty Ltd | 72 652 169 170
City Circle Pty Ltd	1 June 2023	94 076 584 953	PRX Unit Trust | 71 595 434 578
City of Armadale	2 May 2024	79 863 269 538	GRA Partners Pty Ltd | 56 131 702 755
City of Cockburn	10 November 2021	27 471 341 209	CGM Communications Pty Ltd | 66 619 642 858
CITY OF WHITTLESEA	4 September 2024	72 431 091 058	Hawker Britton Group Pty Ltd | 79 109 681 405
City Tattersalls Club	12 September 2023	44 004 054 353	JHR Advisory | 54 666 029 447
Civil Contractors Federation of Australia	6 June 2024	89 618 345 261	Davies, Scott Andrew | 98 468 815 818
Civmec Construction & Engineering Pty Ltd	29 March 2022	98 137 816 025	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Civmec Construction and Engineering Pty Ltd	7 June 2024	98 137 816 025	CT GROUP (AUSTRALIA) PTY LTD | 58 101 934 454
CLAIMO PTY LTD	20 December 2024	52 640 170 976	TSB Advisory Pty Ltd | 90 604 408 826
Claradon Property Pty Ltd	3 December 2018		Coode Holdings Pty Ltd | 81 623 654 839
Clarion Clinics Group Pty Ltd	31 July 2023	86 666 164 861	Iconinc Holdings Pty Ltd | 12 103 086 451
Clean Energy Transfer Fund	17 July 2023	41 633 252 285	CGM Communications Pty Ltd | 66 619 642 858
CLEAN UP AUSTRALIA LIMITED	3 April 2024	93 003 884 991	Jo Scard Pty Ltd | 29 145 634 224
Cleanaway Pty Ltd	20 March 2024	79 000 164 938	Premier State Consulting Pty Ltd | 26 149 964 189
Cleanaway Pty Ltd	20 March 2024	79 000 164 938	PremierNational Pty Ltd | 71 619 450 841
Cleaning Accountability Framework	26 October 2023	39 608 220 652	Anacta Strategies Pty Ltd | 64 633 978 677
Clear Dynamics Pty Ltd	13 August 2024	33 161 418 328	Horizon GR Pty Ltd | 72 652 169 170
Clear Point Capital	4 July 2022	14 169 868 660	Media and Public Affairs Australia | 49 622 979 177
Clemenger BBDO	1 March 2010		GRACosway Pty Ltd | 50 082 123 822
Clemenger Group Limited	21 April 2020	98 004 882 928	GRACosway Pty Ltd | 50 082 123 822
Climate Impact Corporation Limited	1 August 2023		Hawker Britton Group Pty Ltd | 79 109 681 405
Climate Impact Corporation Limited	25 September 2024		Barton Deakin Pty Ltd | 65 140 067 287
Clinics Group Pty Ltd	7 February 2023	52 149 901 477	Horizon GR Pty Ltd | 72 652 169 170
Clontarf Foundation	5 July 2013		SEC Newgate Pty Limited | 38 162 366 056
Cloud Carrier	8 July 2024	31 642 382 198	Perdition Road Pty Limited | 16 641 888 495
CO.L.MAR. Srl	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
CO2CRC Limited	11 April 2024	56 117 183 516	Crestview Strategy Pty Ltd | 66 675 929 343
Coal Australia Limited	16 July 2024	76 665 557 764	SAS Consulting Group Pty Ltd | 33 136 520 548
Coaxial Foundation Ltd	3 September 2024	71 674 112 433	CMAX Communications Pty Ltd | 73 130 740 546
Cobalt Institute	5 May 2024		GRACosway Pty Ltd | 50 082 123 822
COBRAM ESTATE PTY LTD	28 June 2024	33 122 653 785	Counsel House Pty Ltd | 35 631 919 009
Coca Cola South Pacific	14 February 2019		TG Public Affairs Pty Ltd | 23 630 677 673
COCHLEAR LIMITED	5 September 2024	96 002 618 073	SEC Newgate Pty Limited | 38 162 366 056
Cockatoo Island Mining Pty Ltd	23 March 2021	95 628 239 065	Alistair Nicholas Consulting Pty Ltd | 81 655 939 852
Coles Group Limited	29 January 2020	11 004 089 936	Nexus APAC Pty Ltd | 76 615 655 699
Coloplast Pty Ltd	27 October 2021	57 054 949 692	Kirchmann Management Consultants Pty Ltd | 34 837 287 161
Colour Capital	17 February 2023	91 151 395 265	Fowlstone Communications Pty Ltd | 74 085 739 046
Commando Welfare Trust (CWT)	18 March 2021	17 860 403 129	Precision Public Affairs Pty Ltd | 42 639 299 415
Commercial & Asset Finance Brokers Association of Australia	22 March 2018		Advisory Street | 28 613 329 472
Commercial Radio & Audio Limited	2 February 2023	52 059 731 467	Counsel House Pty Ltd | 35 631 919 009
Commonwealth Games Australia Limited	2 February 2024	55 165 736 898	Hawker Britton Group Pty Ltd | 79 109 681 405
Commonwealth Games Australia Limited	3 December 2024	55 165 736 898	Barton Deakin Pty Ltd | 65 140 067 287
COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION	10 August 2023	41 687 119 230	Sling & Stone Pty Ltd | 87 145 965 466
Comms Declare Inc	8 March 2023	54 182 387 071	Jo Scard Pty Ltd | 29 145 634 224
COMMUNICATION WORKERS UNION POSTAL AND TELECOMMUNICATIONS BRANCH	15 July 2021	30 490 675 447	Essential Media Communications | 48 074 671 462
Communify	5 October 2021	65 114 782 948	BB Win Win Outcomes | 91 671 079 056
COMMUNITEER PTY LTD	22 September 2023	91 611 167 401	Jo Scard Pty Ltd | 29 145 634 224
Community Child Care Association	3 July 2023	90 494 504 678	Lady & Professor Pty Ltd | 16 642 238 702
Community Clubs Victoria	18 October 2018	50 737 749 394	PRX Unit Trust | 71 595 434 578
Community Early Learning Australia	3 July 2023	81 174 903 921	Lady & Professor Pty Ltd | 16 642 238 702
Community Housing Industry Association Limited	8 October 2024	30 388 680 258	Social Change Projects Pty Ltd | 60 676 321 270
Community Pharmacy Chemotherapy Services Group	1 March 2010		Jannette Cotterell | 51 364 113 263
Compagnie de Saint-Gobain S.A.	27 February 2024		SEC Newgate Pty Limited | 38 162 366 056
COMPASS EDUCATION AND MIGRATION PTY LTD	3 December 2024	17 613 203 419	TG Public Affairs Pty Ltd | 23 630 677 673
Comsult(Aust) Pty Ltd	26 June 2019	26 098 280 892	Comsult(Aust) Pty Ltd | 26 098 280 892
CONDUENT BUSINESS SERVICES (AUSTRALIA) PTY. LTD.	20 June 2023	58 136 828 914	EJF Advisory Pty Ltd | 91 659 678 047
Conduent Transportation	16 February 2022		PR4PR Pty Ltd | 89 634 536 351
Conexa Infrastructure Partners	24 January 2024	48 129 876 213	Richardson Coutts Pty Ltd | 82 378 912 405
Conference of Asia Pacific Express Carriers (Australia) Limited	23 February 2024	67 100 679 810	GRA Partners Pty Ltd | 56 131 702 755
Confidential Pathology	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
Connect to Effect Pty Ltd	29 October 2024	51 080 037 261	EJF Advisory Pty Ltd | 91 659 678 047
Connected Media	4 July 2022	32 003 882 228	Media and Public Affairs Australia | 49 622 979 177
Connected Media	9 February 2022	53 147 713 666	Media and Public Affairs Australia | 49 622 979 177
ConocoPhillips	29 November 2022	28 141 253 787	Hawker Britton Group Pty Ltd | 79 109 681 405
Conservation Volunteers Australia	20 September 2023	93 006 058 135	Provocate Pty Ltd | 42 622 384 525
Consolidated Energy Australia	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
Consolidated Nuclear	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
Consolidated Properties	4 August 2022	42 134 685 582	Milner Strategic Services | 24 957 388 494
Consolidated Tenders Pty Ltd	28 August 2024	89 621 423 612	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Construcciones y Auxiliar de Ferrocarriles, S.A. (CAF)	31 May 2024		CMAX Communications Pty Ltd | 73 130 740 546
Consumer Healthcare Products Australia (Formerly ASMI)	16 October 2017	55 082 798 952	Nexus APAC Pty Ltd | 76 615 655 699
Continuity of Care Collaboration	16 December 2022		London Agency Pty Ltd | 73 145 352 147
CONVENIENCE ADVERTISING (AUST.) PTY. LTD.	14 February 2024	17 006 271 218	RedBridge Group Pty Ltd | 11 650 587 867
Cooper Energy	12 August 2024		Antinomies Trust | 35 441 514 971
Copenhagen Infrastructure Partners	22 July 2022		Principle Advisory Pty Ltd | 29 657 059 848
Coplex Construction Pty Ltd	2 September 2024	52 152 339 118	Hamsa Advisory Pty Ltd | 45 644 206 306
Copper Coast Investments	5 August 2024	27 1 668 607 24	Capetal Advisory Pty Ltd | 86 615 732 182
Cornerstone OnDemand Australia Pty Ltd	16 October 2024	41 159 303 401	Simplicity One Pty Ltd | 38 640 087 494
Coronado Global Resources	4 August 2022	99 628 199 468	Milner Strategic Services | 24 957 388 494
Corporate Carbon	11 July 2024		TG Public Affairs Pty Ltd | 23 630 677 673
Cosentino Group	6 December 2022	66 150 158 277	SEC Newgate Pty Limited | 38 162 366 056
Costa Group of Companies	4 October 2022		CPI Strategic Pty Ltd | 47 139 102 891
COTA Australia	23 August 2016		Essential Media Communications | 48 074 671 462
Coulson Aviation (Australia) Pty Ltd	6 June 2023	23 137 332 944	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Council on the Ageing	18 July 2022	35 118 911 541	Public Affairs and Campaigns Australia Pty Ltd | 62 632 061 226
COUNTRYWIDE HYDROGEN PTY LTD	26 July 2024	79 646 409 798	Counsel House Pty Ltd | 35 631 919 009
COWARDS PUNCH LIMITED	15 April 2019	80 713 541 680	PRX Unit Trust | 71 595 434 578
Cowboys Rugby League Football Club Limited	8 July 2024	28 060 382 961	Red Rocket Pty Ltd | 87 662 027 358
CPB Contractors	24 January 2024	98 000 893 667	Milner Strategic Services | 24 957 388 494
CPG JAG ACTIVE LAND TRUGANINA 1 PTY LTD	24 December 2024		Horizon GR Pty Ltd | 72 652 169 170
CPSU - SPSF Group	27 January 2023	31 572 641 712	Chris Hayes Consulting | 83 684 527 602
Craig Mostyn Holdings Pty Limited	24 March 2023	14 008 398 356	FTI Consulting (Australia) Pty Ltd | 49 160 397 811
Credibot Pty Ltd	22 November 2022	32 142 466 322	Anacta Strategies Pty Ltd | 64 633 978 677
CRH ANZ PTY LTD	18 December 2023	30 604 858 139	GRACosway Pty Ltd | 50 082 123 822
Crime Stoppers Australia	20 September 2023	98 085 860 206	TSB Advisory Pty Ltd | 90 604 408 826
Crime Stoppers NSW	21 January 2019		Marketing Elements Pty Ltd | 86 086 302 838
CRRC Nanjing Puzhen	9 July 2024		PATON, ALEXANDER WILLIAM | 26 764 474 411
CSIRO	5 June 2013		Innovative Electronics Pty Ltd | 47 008 579 566
CSL Limited	15 May 2024	99 051 588 348	SEC Newgate Pty Limited | 38 162 366 056
CSL Seqirus	10 January 2024	66 120 398 067	London Agency Pty Ltd | 73 145 352 147
CSO Group Pty Ltd	18 July 2023	32 617 639 522	Heimdall Consulting Pty Ltd | 79 493 575 818
CSR LIMITED	26 February 2024	90 000 001 276	Hawker Britton Group Pty Ltd | 79 109 681 405
CTS Tyre Recycling Pty Ltd	4 November 2022	21 644 200 528	The Trustee for THE D & W CHRISTISON FAMILY TRUST | 70 997 483 976
CTSi (USA)	6 February 2017		The Hon. Robert Charles Baldwin | 20 018 352 673
Curtin University	3 September 2024	99 143 842 569	Davies, Scott Andrew | 98 468 815 818
CW Retail Services Pty Ltd	7 June 2021		GCT Media Services | 30 061 360 354
Cyber Security Certification of Australia	11 July 2024	47 650 892 514	AKIN AGENCY PTY LTD | 26 624 988 263
CyberCX Pty Ltd	24 May 2023	90 629 363 328	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Cyprium Metals Ltd	27 September 2024		PYNE AND PARTNERS PTY LTD | 81 634 747 363
Cystic Fibrosis Australia	7 February 2023	73 104 285 136	Nexus APAC Pty Ltd | 76 615 655 699
CYSTIC FIBROSIS COMMUNITY CARE LTD	18 April 2024	25 126 031 536	Counsel House Pty Ltd | 35 631 919 009
DAME TECHNOLOGIES LTD	12 October 2023	64 652 952 479	Counsel House Pty Ltd | 35 631 919 009
Dar Group	7 October 2022		PYNE AND PARTNERS PTY LTD | 81 634 747 363
Databank Australia Pty Ltd	12 July 2024		Partisan Strategic | 76 079 381 414
Datapod (Australia) Pty Ltd	26 February 2024	66 126 793 860	Precision Public Affairs Pty Ltd | 42 639 299 415
De Grey Mining Limited	12 February 2024	65 094 206 292	BINA GROUP PTY LTD | 63 168 662 379
Deafness Forum Limited	10 July 2023	49 008 587 611	Astute Advocacy | 60 366 005 776
Deakin – Centre for Regenerating Futures	6 March 2024		Anacta Strategies Pty Ltd | 64 633 978 677
Deakin Energy Networks	4 October 2023		Anacta Strategies Pty Ltd | 64 633 978 677
Defence Bank Limited	4 October 2018	57 087 651 385	MCDOUGALL,DANIEL JOHN | 22 535 615 464
Delaware North	7 February 2020	92 003 435 345	The Trustee for Arthur Trust | 63 272 133 108
Delaware North Companies Australia Pty Ltd	27 June 2023	92 003 435 345	PRX Unit Trust | 71 595 434 578
Dell Australia Pty Ltd	6 November 2012		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Dell Technologies	11 September 2020	46 003 855 561	Cornerstone Group Australia Pty Ltd | 99 153 936 719
Delta Group Pty Ltd	1 June 2023	19 165 323 222	PRX Unit Trust | 71 595 434 578
DELTA SYSTEMS INTERNATIONAL PTY LTD	22 August 2024	56 095 525 385	SEC Newgate Pty Limited | 38 162 366 056
Dementia Australia	3 March 2021	79 625 582 771	CPR Communications & Public Relations Pty Ltd | 94 064 357 544
Demigold Pty Ltd	30 January 2012		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Demographia Australia Inc	7 April 2016		Government Relations Solutions Pty Ltd | 28 125 233 543
DENTAL HYGIENISTS ASSOCIATION OF AUSTRALIA LIMITED	5 October 2023	93 364 414 836	Jo Scard Pty Ltd | 29 145 634 224
DEPUTECHNOLOGIES PTY LTD	10 August 2023	59 133 632 130	Sling & Stone Pty Ltd | 87 145 965 466
Design Construct Industries Pty Ltd	1 November 2024	50 117 543 129	Bench Advisory Pty Ltd | 83 664 390 569
Design Matters National	3 June 2021	36 982 485 577	FPL Advisory Pty Ltd | 34 123 819 385
Designer Life	5 April 2021	13 976 018 396	BB Win Win Outcomes | 91 671 079 056
Device Technologies	20 September 2023	40 058 091 973	Provocate Pty Ltd | 42 622 384 525
Dexus Holdings Pty Limited	14 July 2017		SEC Newgate Pty Limited | 38 162 366 056
DHL Supply Chain (Australia) Pty Ltd	12 August 2022	85 071 798 617	Willard Public Affairs Pty Limited | 17 165 851 856
Diabetes Australia	3 October 2024	47 008 528 461	Bossy Group Pty Ltd | 24 166 898 488
Diabetes Australia	24 December 2024	49 947 460 313	The Trustee for Popp Family Trust | 48 697 260 710
Diabetes Australia	6 June 2022	47 008 528 461	Anacta Strategies Pty Ltd | 64 633 978 677
Diageo Australia	11 July 2024	33 004 167 720	TG Public Affairs Pty Ltd | 23 630 677 673
Diageo Australia limited	15 February 2023	33 004 167 720	Sports Hydrant Pty Ltd | 91 133 062 012
Diatreme Resources Ltd	8 November 2024	33 061 267 061	Anacta Strategies Pty Ltd | 64 633 978 677
DiDi Mobility	4 September 2023	96 623 144 963	L Ivanovski and GA Richardson | 25 268 973 694
Dietitians Association of Australia	17 January 2022	34 008 521 480	Mission Consulting Solutions | 32 660 516 974
digigo	7 February 2024	60 649 632 655	Sapphire Executive Business Services | 17 661 600 504
DigiMe Ltd	11 February 2018		BDAAS Consulting Pty Ltd | 62 164 001 969
Diginostic Pty Ltd	10 November 2020	13 631 789 332	RedBridge Group Pty Ltd | 11 650 587 867
DIGITAL INFRATECH PTY LTD	20 September 2021	76 651 338 117	SAS Consulting Group Pty Ltd | 33 136 520 548
Digital Publishers Alliance	14 February 2024	33 650 574 931	Colbourne Advisory Pty Ltd | 83 665 601 892
Digital Twinning Australia	11 July 2024	37 657 105 158	Northstar Public Affairs Pty Ltd | 25 638 744 046
Digital61 Pty Ltd	12 July 2024	42 620 189 862	Molico Pty Ltd | 52 169 196 061
Dilji Corporation	15 July 2024	97 655 230 256	Perth Media Pty Ltd | 33 627 879 627
Dinosaur (Dino) Oil and Petroleum	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
Direct Freight Express Pty ltd	30 January 2012		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Discord Inc	17 October 2023		Eloquium Group Pty Ltd | 45 631 309 923
Diversity and Inclusion Summit	15 July 2024	68 647 096 133	Perth Media Pty Ltd | 33 627 879 627
DocuSign	18 November 2015		Diplomacy Pty Limited | 17 148 998 645
Dole Food Company, Inc.	13 September 2022		Alistair Nicholas Consulting Pty Ltd | 81 655 939 852
Doma Hotels	14 July 2020	85 121 835 087	Sports Hydrant Pty Ltd | 91 133 062 012
DomGas Alliance	14 February 2020		Purple Communications Australia Pty Ltd | 37 108 802 366
Dongara Marine Pty Ltd	13 February 2023	25 612 674 174	Purple Communications Australia Pty Ltd | 37 108 802 366
Doomadgee Aboriginal Shire Council	17 March 2023	64 535 061 721	Mission Consulting Solutions | 32 660 516 974
DOORDASH TECHNOLOGIES AUSTRALIA PTY LTD	7 July 2023	96 634 446 030	L Ivanovski and GA Richardson | 25 268 973 694
Downer Group	20 October 2020		TG Public Affairs Pty Ltd | 23 630 677 673
Dowsing Group Pty Ltd	11 June 2019	60 617 211 935	Coode Holdings Pty Ltd | 81 623 654 839
DP World Australia (POAL) Limited	11 March 2020	25 000 282 977	PremierNational Pty Ltd | 71 619 450 841
DP World Australia (POAL) Limited	11 March 2020	25 000 282 977	Premier State Consulting Pty Ltd | 26 149 964 189
DP World Australia Limited	17 October 2022	27 129 842 093	Hawker Britton Group Pty Ltd | 79 109 681 405
DPL Medical Pty Limited	18 December 2015		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Dr ES	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
DR FALK PHARMA AUSTRALIA PTY LTD	2 September 2022	40 631 091 131	THEMA Consulting Pty Ltd | 65 121 630 813
Dr Liz	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
Dr Me Pty Ltd	13 December 2023	29 608 627 443	H/Advisors APA Pty Ltd | 60 074 901 545
DR ME PTY LTD	9 September 2024	29 608 627 443	H/Advisors APA Pty Ltd | 60 074 901 545
Dr Wolff Australia Pty Ltd	24 April 2024	12 602 714 787	Hawker Britton Group Pty Ltd | 79 109 681 405
Drawdown Australia	31 October 2018		Asys Consulting | 74 068 259 683
Drax Group Plc	20 January 2023		Cornerstone Group Australia Pty Ltd | 99 153 936 719
DrinkWise Australia Ltd	6 October 2021	46 112 783 114	Principle Advisory Pty Ltd | 29 657 059 848
DroneShield	9 August 2023	26 608 915 859	EJF Advisory Pty Ltd | 91 659 678 047
DroneShield Limited	9 May 2024	26 608 915 859	Horizon GR Pty Ltd | 72 652 169 170
DroneShield Limited	21 May 2024	26 608 915 859	Horizon GR Pty Ltd | 72 652 169 170
DRUG ARM Australasia	1 March 2010	64 102 943 304	Hawkshaw Pty Ltd | 96 648 425 085
Drug Awareness and Relief Foundation (Australia)	1 February 2024	56 385 096 184	Hawkshaw Pty Ltd | 96 648 425 085
DSM	21 February 2020		Brickfielder Government Engagement (BGE) | 62 621 984 923
Duolingo	5 June 2023		CMAX Communications Pty Ltd | 73 130 740 546
Duroclass Pty Ltd (ABN 18 640 203 596)	21 December 2023	18 640 203 596	H/Advisors APA Pty Ltd | 60 074 901 545
Dusseldorp Forum	5 January 2021	25 269 392 713	Baglin Street | 76 653 586 164
Dvuln Pty Ltd	21 August 2023	24 615 515 207	Capital Integrity Group Pty Ltd | 99 649 180 898
DXC Technology Australia	12 July 2021	18 008 476 944	Primary Communication Partners Pty Limited | 36 617 864 347
Dynamic Spectrum Alliance Limited	24 May 2022		Trustee of Kerans Family Trust | 60 355 347 758
Eagers Automotive Limited	22 April 2024	87 009 680 013	GRACosway Pty Ltd | 50 082 123 822
Eastern Energy Buyers Group	15 June 2022	15 625 520 292	Fowlstone Communications Pty Ltd | 74 085 739 046
EBAY	14 May 2020	89 243 434 390	SEC Newgate Pty Limited | 38 162 366 056
EBOS GROUP AUSTRALIA PTY LIMITED	27 March 2018	38 125 401 247	PRX Unit Trust | 71 595 434 578
Echo Therapeutics Pty Ltd	23 February 2022	92 628 298 699	Kirchmann Management Consultants Pty Ltd | 34 837 287 161
EchoStar	22 February 2019		Diplomacy Pty Limited | 17 148 998 645
Echostar Global Australia Pty Ltd	7 September 2020		Trustee of Kerans Family Trust | 60 355 347 758
Ecocycle Pty Ltd	13 February 2024	76 146 190 516	PYNE AND PARTNERS PTY LTD | 81 634 747 363
e-Cycle Solutions Pty Ltd	18 August 2020	77 154 138 299	John Fetter Group Pty Ltd | 72 688 652 639
EDF Australia Pacific Pty Ltd	8 May 2023	51 664 931 079	Rainmaker Strategic Planning Pty Ltd | 39 632 234 916
EDF Renewables Australia	10 August 2021		Rainmaker Strategic Planning Pty Ltd | 39 632 234 916
Edge Data Centres Pty Ltd	21 October 2024	55 632 303 827	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Edify Energy Pty Ltd	16 October 2023	85 606 684 995	Red Rocket Pty Ltd | 87 662 027 358
EDU Holdings Ltd	6 September 2024	85 108 962 152	Anacta Strategies Pty Ltd | 64 633 978 677
Educational Music Tour Bus Foundation Ltd	9 March 2023	53 630 466 376	Dovic Consulting | 87 794 503 782
Educational Testing Service (ETS)	11 July 2023		Hawker Britton Group Pty Ltd | 79 109 681 405
EduGrowth	6 March 2024	42 612 800 594	AKIN AGENCY PTY LTD | 26 624 988 263
Edwards Life Sciences	2 September 2022	77 098 906 873	EJF Advisory Pty Ltd | 91 659 678 047
EDWARDS LIFESCIENCES PTY LIMITED	21 October 2024	77 098 906 873	Fleetfoot Promotions Pty Ltd | 93 073 524 240
EFFUSIONTECH PTY LTD	18 June 2024	72 602 821 518	SEC Newgate Pty Limited | 38 162 366 056
EJF Advisory Pty Ltd	28 September 2023	91 659 678 047	Bruce Hawker Consulting Pty Ltd | 35 081 137 180
ELAC SONAR GmbH (a Cohort PLC company)	23 January 2017		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Elan Energy Matrix Pty Ltd	26 September 2023	88 611 714 580	The Trustee for Arthur Trust | 63 272 133 108
Elbit Systems of Australia	14 July 2022	31 143 526 229	Probity International Pty. Ltd | 77 076 174 126
Elbit Systems of Australia P/L	18 June 2012		Intech Strategies P/L | 66 006 582 921
Elecseed Pty Ltd	21 April 2023	57 632 472 327	A.GR Advisors Pty Ltd | 56 665 229 112
Electric Vehicle Council of Australia Limited	11 September 2024	34 112 235 651	L Ivanovski and GA Richardson | 25 268 973 694
Electro Optic Systems	17 July 2020	95 092 708 364	GCB STRATOS CONSULTING PTY LTD | 36 608 484 920
Electro Optic Systems	2 October 2024	11 008 587 451	SEC Newgate Pty Limited | 38 162 366 056
Electro Optic Systems Pty Ltd	29 April 2019		CMAX Communications Pty Ltd | 73 130 740 546
ELEUTHERA GROUP PTY. LTD.	4 June 2024	35 168 390 029	Wilkinson Butler Pty Ltd | 95 164 204 111
Elgas	22 June 2017	85 002 749 260	Primary Communication Partners Pty Limited | 36 617 864 347
Eli Lilly	4 February 2020		Insight Strategy | 47 609 028 015
ELI LILLY AUSTRALIA PTY LTD	26 August 2024	39 000 233 992	Jo Scard Pty Ltd | 29 145 634 224
ELI LILLY AUSTRALIA PTY LTD	4 December 2024	39 000 233 992	OGILVY HEALTH PTY LTD | 62 114 807 877
Eloura Holdings	30 January 2012		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Emanuel Exports Pty Ltd	4 May 2018		Bossy Group Pty Ltd | 24 166 898 488
Emergency Medicine Research	12 August 2024	76 009 090 715	Antinomies Trust | 35 441 514 971
EMERGENT 2 PTY LTD	30 June 2020	26 605 043 525	Primary Communication Partners Pty Limited | 36 617 864 347
Emerging Therapeutic Association Australia	5 May 2022		Precision Public Affairs Pty Ltd | 42 639 299 415
Emirates Group	22 March 2024		Hawker Britton Group Pty Ltd | 79 109 681 405
Empire Energy Group Limited	11 April 2024	29 002 148 361	Crestview Strategy Pty Ltd | 66 675 929 343
Employers Mutual Limited	29 August 2012	11 001 735 191	Premier State Consulting Pty Ltd | 26 149 964 189
Employers Mutual Limited	13 February 2018	11 001 735 191	PremierNational Pty Ltd | 71 619 450 841
Employers Mutual Limited ABN	22 July 2022	67 000 006 486	PR4PR Pty Ltd | 89 634 536 351
Employers Mutual Management Pty Ltd	22 July 2022	11 001 735 191	PR4PR Pty Ltd | 89 634 536 351
