Member,Party,Electorate,State,Years_in_office
Eric Abetz,Liberal,Tasmania,Tasmania,1994–2022
Alex Antic,Liberal,South Australia,South Australia,2019–present
Wendy Askew,Liberal,Tasmania,Tasmania,2019–present
Tim Ayres,Labor,New South Wales,New South Wales,2019–present
Cory Bernardi[c],Independent,South Australia,South Australia,2006–2020
Catryna Bilyk,Labor,Tasmania,Tasmania,2008–present
Simon Birmingham,Liberal,South Australia,South Australia,2007–present
Andrew Bragg,Liberal,New South Wales,New South Wales,2019–present
Slade Brockman,Liberal,Western Australia,Western Australia,2017–present
Carol Brown,Labor,Tasmania,Tasmania,2005–present
Matt Canavan,Liberal National [o],Queensland,Queensland,2014–present
Kim Carr,Labor,Victoria,Victoria,1993–2022
Michaelia Cash,Liberal,Western Australia,Western Australia,2008–present
Claire Chandler,Liberal,Tasmania,Tasmania,2019–present
Anthony Chisholm,Labor,Queensland,Queensland,2016–present
Raff Ciccone,Labor,Victoria,Victoria,2019–present
Richard Colbeck,Liberal,Tasmania,Tasmania,2018–present
Mathias Cormann[d],Liberal,Western Australia,Western Australia,2007–2020
Dorinda Cox[h],Greens,Western Australia,Western Australia,2021–present
Perin Davey,National,New South Wales,New South Wales,2019–present
Richard Di Natale[f],Greens,Victoria,Victoria,2011–2020
Pat Dodson,Labor,Western Australia,Western Australia,2016–2024
Jonathon Duniam,Liberal,Tasmania,Tasmania,2016–present
Don Farrell,Labor,South Australia,South Australia,2016–present
Mehreen Faruqi,Greens,New South Wales,New South Wales,2018–present
David Fawcett,Liberal,South Australia,South Australia,2011–present
Concetta Fierravanti-Wells,Liberal,New South Wales,New South Wales,2005–2022
Mitch Fifield [a],Liberal,Victoria,Victoria,2004–2019
Alex Gallacher [g],Labor,South Australia,South Australia,2011–2021
Katy Gallagher,Labor,Australian Capital Territory,Australian Capital Territory,2019–present
Nita Green,Labor,Queensland,Queensland,2019–present
Stirling Griff,Centre Alliance,South Australia,South Australia,2016–2022
Karen Grogan [g],Labor,South Australia,South Australia,2021–present
Pauline Hanson,One Nation,Queensland,Queensland,2016–present
Sarah Hanson-Young,Greens,South Australia,South Australia,2008–present
Sarah Henderson[a],Liberal,Victoria,Victoria,2019–present
Hollie Hughes,Liberal,New South Wales,New South Wales,2019–present
Jane Hume,Liberal,Victoria,Victoria,2016–present
Kristina Keneally[l],Labor,New South Wales,New South Wales,2018–2022
Kimberley Kitching[k],Labor,Victoria,Victoria,2016–2022
Jacqui Lambie,Lambie,Tasmania,Tasmania,2019–present
Sue Lines,Labor,Western Australia,Western Australia,2013–present
Jenny McAllister,Labor,New South Wales,New South Wales,2015–present
Malarndirri McCarthy,Labor,Northern Territory,Northern Territory,2016–present
Susan McDonald,Liberal National [o],Queensland,Queensland,2019–present
James McGrath,Liberal National [p],Queensland,Queensland,2014–present
Bridget McKenzie,National,Victoria,Victoria,2011–present
Nick McKim,Greens,Tasmania,Tasmania,2015–present
Andrew McLachlan[c],Liberal,South Australia,South Australia,2020–present
Sam McMahon,Country Liberal,Northern Territory,Northern Territory,2019–2022
Greg Mirabella[i],Liberal,Victoria,Victoria,2021–2022
Jim Molan[b],Liberal,New South Wales,New South Wales,2019–2023
Deborah O'Neill,Labor,New South Wales,New South Wales,2013–present
Matt O'Sullivan,Liberal,Western Australia,Western Australia,2019–present
James Paterson,Liberal,Victoria,Victoria,2016–present
Rex Patrick,Independent,South Australia,South Australia,2017–2022
Marise Payne,Liberal,New South Wales,New South Wales,1997–2023
Helen Polley,Labor,Tasmania,Tasmania,2005–present
Louise Pratt,Labor,Western Australia,Western Australia,2016–present
Gerard Rennick,Liberal National [p],Queensland,Queensland,2019–present
Linda Reynolds CSC,Liberal,Western Australia,Western Australia,2014–present
Janet Rice,Greens,Victoria,Victoria,2014–present
Malcolm Roberts,One Nation,Queensland,Queensland,2019–present
Anne Ruston,Liberal,South Australia,South Australia,2012–present
Scott Ryan[i],Liberal,Victoria,Victoria,2008–2021
Paul Scarr,Liberal National [p],Queensland,Queensland,2019–present
Zed Seselja,Liberal,Australian Capital Territory,Australian Capital Territory,2013–2022
Tony Sheldon,Labor,New South Wales,New South Wales,2019–present
Rachel Siewert[h],Greens,Western Australia,Western Australia,2005–2021
Arthur Sinodinos AO[b],Liberal,New South Wales,New South Wales,2011–2019
Ben Small[d][m],Liberal,Western Australia,Western Australia,2020–2022
Dean Smith,Liberal,Western Australia,Western Australia,2012–present
Marielle Smith,Labor,South Australia,South Australia,2019–present
Jordon Steele-John,Greens,Western Australia,Western Australia,2017–present
Glenn Sterle,Labor,Western Australia,Western Australia,2005–present
Jana Stewart[k],Labor,Victoria,Victoria,2022–present
Amanda Stoker,Liberal National [p],Queensland,Queensland,2018–2022
Lidia Thorpe[f],Greens,Victoria,Victoria,2020–present
Anne Urquhart,Labor,Tasmania,Tasmania,2011–present
David Van,Liberal,Victoria,Victoria,2019–present
Jess Walsh,Labor,Victoria,Victoria,2019–present
Larissa Waters,Greens,Queensland,Queensland,2018–present
Murray Watt,Labor,Queensland,Queensland,2016–present
Peter Whish-Wilson,Greens,Tasmania,Tasmania,2012–present
Penny Wong,Labor,South Australia,South Australia,2002–present
